Year,Month,est_PDO,real_PDO
1900,Jan,0.776092118,0.04
1900,Feb,0.330513214,1.32
1900,Mar,0.695067302,0.49
1900,Apr,1.72758212,0.35
1900,May,1.416465139,0.77
1900,Jun,0.969128834,0.65
1900,Jul,0.87389933,0.95
1900,Aug,1.120445611,0.14
1900,Sep,-0.167146569,-0.24
1900,Oct,0.243309823,0.23
1900,Nov,0.511144614,-0.44
1900,Dec,0.668167101,1.19
1901,Jan,1.037900849,0.79
1901,Feb,0.588559429,-0.12
1901,Mar,-0.373656521,0.35
1901,Apr,-0.497658198,0.61
1901,May,-0.873128887,-0.42
1901,Jun,-0.98269013,-0.05
1901,Jul,-1.336779401,-0.6
1901,Aug,-0.377758733,-1.2
1901,Sep,0.250927616,-0.33
1901,Oct,0.578755552,0.16
1901,Nov,-0.021017798,-0.6
1901,Dec,0.430105821,-0.14
1902,Jan,1.085352925,0.82
1902,Feb,0.520956436,1.58
1902,Mar,0.587051764,0.48
1902,Apr,0.728079636,1.37
1902,May,1.130500863,1.09
1902,Jun,1.926259804,0.52
1902,Jul,2.720962286,1.58
1902,Aug,1.505389022,1.57
1902,Sep,0.762361651,0.44
1902,Oct,0.96746442,0.7
1902,Nov,0.728244309,0.16
1902,Dec,0.689837823,-1.1
1903,Jan,0.154845247,0.86
1903,Feb,0.120410973,-0.24
1903,Mar,-0.084506832,-0.22
1903,Apr,-0.920607198,-0.5
1903,May,-0.490933448,0.43
1903,Jun,-0.339542514,0.23
1903,Jul,0.956114518,0.4
1903,Aug,0.985946516,1.01
1903,Sep,0.556834757,-0.24
1903,Oct,0.656869475,0.18
1903,Nov,-0.122272469,0.08
1903,Dec,0.260162483,-0.03
1904,Jan,1.306269063,0.63
1904,Feb,0.611901555,-0.91
1904,Mar,0.711846415,-0.71
1904,Apr,0.274302325,-0.07
1904,May,0.426839004,-0.22
1904,Jun,0.025623628,-1.53
1904,Jul,-0.023881338,-1.58
1904,Aug,1.412328506,-0.64
1904,Sep,2.05675066,0.06
1904,Oct,1.85262801,0.43
1904,Nov,1.646704825,1.45
1904,Dec,2.738127028,0.06
1905,Jan,2.595905077,0.73
1905,Feb,1.299182255,0.91
1905,Mar,0.773970922,1.31
1905,Apr,1.598097934,1.59
1905,May,1.194644893,-0.07
1905,Jun,1.398779879,0.69
1905,Jul,2.094396304,0.85
1905,Aug,2.06537005,1.26
1905,Sep,1.857615107,-0.03
1905,Oct,-0.498613551,-0.15
1905,Nov,0.791911323,1.11
1905,Dec,-1.187520007,-0.5
1906,Jan,0.933264383,0.92
1906,Feb,1.216470421,1.18
1906,Mar,0.602504552,0.83
1906,Apr,0.77168554,0.74
1906,May,1.158719908,0.44
1906,Jun,0.619697001,1.24
1906,Jul,1.240795641,0.09
1906,Aug,1.374622775,-0.53
1906,Sep,0.513408591,-0.31
1906,Oct,1.123894198,0.08
1906,Nov,1.014286983,1.69
1906,Dec,-0.242148528,-0.54
1907,Jan,-0.781827703,-0.3
1907,Feb,-0.689984217,-0.32
1907,Mar,-2.011896674,-0.19
1907,Apr,-1.476972574,-0.16
1907,May,0.094411016,0.16
1907,Jun,0.702377353,0.57
1907,Jul,0.356488002,0.63
1907,Aug,-0.338621094,-0.96
1907,Sep,0.758204255,-0.23
1907,Oct,1.661951581,0.84
1907,Nov,1.546948273,0.66
1907,Dec,1.457587997,0.72
1908,Jan,1.373528816,1.36
1908,Feb,1.567448563,1.02
1908,Mar,0.647251923,0.67
1908,Apr,0.164189087,0.23
1908,May,0.239198603,0.23
1908,Jun,0.304579308,0.41
1908,Jul,0.238398688,0.6
1908,Aug,-0.382446047,-1.04
1908,Sep,0.74555275,-0.16
1908,Oct,0.90311611,-0.41
1908,Nov,1.685395845,0.47
1908,Dec,1.138727739,1.16
1909,Jan,0.496320321,0.23
1909,Feb,0.68207107,1.01
1909,Mar,0.717034097,0.54
1909,Apr,0.352237314,0.24
1909,May,0.054110297,-0.39
1909,Jun,-0.513089252,-0.64
1909,Jul,-1.272487221,-0.39
1909,Aug,-2.064870178,-0.68
1909,Sep,-1.832042514,-0.89
1909,Oct,-1.236267401,-0.02
1909,Nov,-1.37320232,-0.4
1909,Dec,-2.21578335,-0.01
1910,Jan,-1.35666754,-0.25
1910,Feb,-0.874913259,-0.7
1910,Mar,-0.577766739,0.18
1910,Apr,-1.634902334,-0.37
1910,May,-2.058344619,-0.06
1910,Jun,-0.437325086,-0.28
1910,Jul,-0.322907315,0.03
1910,Aug,-0.651173631,-0.06
1910,Sep,0.846285274,0.4
1910,Oct,-0.962917894,-0.66
1910,Nov,-0.648747321,0.02
1910,Dec,-0.01032691,0.84
1911,Jan,-0.478869079,-1.11
1911,Feb,-1.048333697,0
1911,Mar,-1.083293288,-0.78
1911,Apr,-0.344225853,-0.73
1911,May,-0.781392676,0.17
1911,Jun,-1.375990593,0.02
1911,Jul,-0.494999008,0.48
1911,Aug,0.063982021,0.43
1911,Sep,0.088368735,0.29
1911,Oct,0.065696584,0.2
1911,Nov,-0.230081064,-0.86
1911,Dec,-0.934115265,0.01
1912,Jan,-0.24412182,-1.72
1912,Feb,0.135709552,-0.23
1912,Mar,-0.153171873,-0.04
1912,Apr,-0.100407397,-0.38
1912,May,0.161605751,-0.02
1912,Jun,0.498418706,0.77
1912,Jul,0.396330371,1.07
1912,Aug,0.596977745,-0.84
1912,Sep,1.175888015,0.94
1912,Oct,0.85277089,0.56
1912,Nov,-0.041462463,0.74
1912,Dec,0.000355433,0.98
1913,Jan,-0.035824238,-0.03
1913,Feb,0.464458617,0.34
1913,Mar,0.123241612,0.06
1913,Apr,-0.341342786,-0.92
1913,May,0.264441141,0.66
1913,Jun,0.249031597,1.43
1913,Jul,0.793367658,1.06
1913,Aug,1.242357359,1.29
1913,Sep,0.794098368,0.73
1913,Oct,0.522269017,0.62
1913,Nov,0.403677251,0.75
1913,Dec,-0.004804931,0.9
1914,Jan,-0.419380135,0.34
1914,Feb,-0.150571851,-0.29
1914,Mar,0.217884304,0.08
1914,Apr,0.778209759,1.2
1914,May,0.640894546,0.11
1914,Jun,-0.709297805,0.11
1914,Jul,-0.675371034,-0.21
1914,Aug,-0.560020212,0.11
1914,Sep,-0.757242166,-0.34
1914,Oct,-0.243633066,-0.11
1914,Nov,0.048115568,0.03
1914,Dec,0.218052725,0.89
1915,Jan,-0.217781859,-0.41
1915,Feb,-0.186667597,0.14
1915,Mar,0.654955943,-1.22
1915,Apr,1.290516114,1.4
1915,May,1.380344651,0.32
1915,Jun,1.38586294,0.99
1915,Jul,1.444317932,1.07
1915,Aug,0.867749605,0.27
1915,Sep,0.456135093,-0.05
1915,Oct,-0.751476011,-0.43
1915,Nov,-0.941693235,-0.12
1915,Dec,-0.543532141,0.17
1916,Jan,-1.133707602,-0.64
1916,Feb,-1.172387608,-0.19
1916,Mar,-1.084249489,-0.11
1916,Apr,-0.573252019,0.35
1916,May,-0.521739188,0.42
1916,Jun,-1.48586647,-0.82
1916,Jul,-1.270118206,-0.78
1916,Aug,-1.590174897,-0.73
1916,Sep,-1.45226636,-0.77
1916,Oct,-1.37407125,-0.22
1916,Nov,-2.017022399,-0.68
1916,Dec,-2.003394054,-1.94
1917,Jan,-1.515505442,-0.79
1917,Feb,-1.362076163,-0.84
1917,Mar,-1.621813177,-0.71
1917,Apr,-1.612484029,-0.34
1917,May,-1.144027318,0.82
1917,Jun,-0.947392171,-0.03
1917,Jul,-0.762064238,0.1
1917,Aug,-0.542168522,-0.22
1917,Sep,-0.786303875,-0.4
1917,Oct,-0.999016204,-1.75
1917,Nov,-0.792671456,-0.34
1917,Dec,-0.780779675,-0.6
1918,Jan,-0.002085425,-1.13
1918,Feb,-0.307112244,-0.66
1918,Mar,-0.713691867,-1.15
1918,Apr,-0.454740549,-0.32
1918,May,-0.992410035,-0.33
1918,Jun,-0.856122131,0.07
1918,Jul,-0.253205777,0.98
1918,Aug,0.016474342,-0.31
1918,Sep,0.315761742,-0.59
1918,Oct,1.256669494,0.61
1918,Nov,1.162297991,0.34
1918,Dec,0.256922625,0.86
1919,Jan,0.092833131,-1.07
1919,Feb,-0.032806277,1.31
1919,Mar,-0.354728671,-0.5
1919,Apr,-0.345370695,0.08
1919,May,-0.95718394,0.17
1919,Jun,-1.425920154,-0.71
1919,Jul,-1.601917692,-0.47
1919,Aug,-0.66368262,0.38
1919,Sep,-0.275075402,0.06
1919,Oct,-0.497255994,-0.42
1919,Nov,-0.525910189,-0.8
1919,Dec,-0.258695544,0.76
1920,Jan,-1.293427959,-1.18
1920,Feb,-0.840413734,0.06
1920,Mar,-0.704367465,-0.78
1920,Apr,-0.850973971,-1.29
1920,May,-0.89349401,-0.97
1920,Jun,-1.101842055,-1.3
1920,Jul,-1.223752254,-0.9
1920,Aug,-1.885464759,-2.21
1920,Sep,-1.860923032,-1.28
1920,Oct,-1.661231166,-1.06
1920,Nov,-0.399224614,-0.26
1920,Dec,-0.528668832,0.29
1921,Jan,-1.023154742,-0.66
1921,Feb,-1.287765088,-0.61
1921,Mar,-0.387539977,-0.01
1921,Apr,-1.323439207,-0.93
1921,May,-1.183236744,-0.42
1921,Jun,-1.078859395,0.4
1921,Jul,-1.360918322,-0.58
1921,Aug,-1.39977804,-0.69
1921,Sep,-0.936775071,-0.78
1921,Oct,-1.168730326,-0.23
1921,Nov,-0.876054915,1.92
1921,Dec,-0.18977839,1.42
1922,Jan,-0.095281677,1.05
1922,Feb,-0.809977999,-0.85
1922,Mar,-1.166278537,0.08
1922,Apr,-1.379594574,0.43
1922,May,-1.518867213,-0.19
1922,Jun,-0.936142083,-1.04
1922,Jul,-0.662257505,-0.82
1922,Aug,-0.221485758,-0.93
1922,Sep,-0.204629046,-0.81
1922,Oct,-0.077545465,0.84
1922,Nov,-0.428354891,-0.6
1922,Dec,0.222960004,0.48
1923,Jan,-0.000776147,0.75
1923,Feb,-0.731287616,-0.04
1923,Mar,-0.743160995,0.49
1923,Apr,-0.323594585,0.99
1923,May,0.284397117,-0.2
1923,Jun,-0.805284227,0.68
1923,Jul,0.481284115,1.16
1923,Aug,0.349451628,0.84
1923,Sep,-0.003917858,-0.24
1923,Oct,0.275728519,1.1
1923,Nov,-0.161913845,0.62
1923,Dec,-0.095816406,-0.36
1924,Jan,-0.71010097,1.29
1924,Feb,-0.582259164,0.73
1924,Mar,-0.369974618,1.13
1924,Apr,-0.809082518,-0.02
1924,May,-0.230208369,0.36
1924,Jun,-0.289399681,0.75
1924,Jul,-0.560982508,-0.55
1924,Aug,-0.804708916,-0.67
1924,Sep,-1.385097494,-0.48
1924,Oct,-1.77990279,-1.25
1924,Nov,-1.24557775,0.24
1924,Dec,-0.417137102,0.11
1925,Jan,-1.031420556,-0.05
1925,Feb,-0.651308357,-0.14
1925,Mar,-0.591527789,0.2
1925,Apr,-1.065852315,0.86
1925,May,-0.297909872,0.79
1925,Jun,-0.708573259,-1.08
1925,Jul,-0.570527971,-0.06
1925,Aug,-0.277441664,-0.86
1925,Sep,0.368555805,0.52
1925,Oct,0.616537318,0.04
1925,Nov,1.290025041,0.88
1925,Dec,0.527319336,1.19
1926,Jan,0.805064833,0.3
1926,Feb,1.123463279,0.98
1926,Mar,1.148847832,-0.5
1926,Apr,1.61765561,2.1
1926,May,2.123479636,1.43
1926,Jun,1.449440508,2.03
1926,Jul,2.105833531,1.05
1926,Aug,1.953312619,1.64
1926,Sep,2.033110931,1.18
1926,Oct,1.976284982,1.65
1926,Nov,2.445720477,1
1926,Dec,2.114153055,1.06
1927,Jan,0.871871835,1.07
1927,Feb,1.195603311,1.73
1927,Mar,0.857602875,0.15
1927,Apr,0.068241699,-0.18
1927,May,-0.000860537,0.3
1927,Jun,0.466831343,0.69
1927,Jul,-0.014364795,-0.31
1927,Aug,-0.120850651,-0.73
1927,Sep,0.343072814,-0.41
1927,Oct,-0.336958955,-0.62
1927,Nov,-0.29034268,-0.07
1927,Dec,-0.135197898,0.07
1928,Jan,0.212188689,0.96
1928,Feb,0.578941335,0.79
1928,Mar,0.738851814,0.52
1928,Apr,0.382966043,0.81
1928,May,0.534184605,0.66
1928,Jun,0.949302126,0.15
1928,Jul,-0.408787987,0.3
1928,Aug,-0.57362209,-0.72
1928,Sep,-1.281766135,-1.41
1928,Oct,-0.752432097,-1.31
1928,Nov,0.262742729,0.14
1928,Dec,0.427035752,0.98
1929,Jan,0.728973778,0.97
1929,Feb,0.420530509,0.52
1929,Mar,0.177984658,0.5
1929,Apr,0.339839135,0.55
1929,May,0.378839622,1.07
1929,Jun,0.592537082,0.5
1929,Jul,0.085327298,-0.06
1929,Aug,0.149128086,-0.69
1929,Sep,1.032847656,0.45
1929,Oct,1.085916326,-0.21
1929,Nov,0.606552636,1.24
1929,Dec,1.480184981,-0.03
1930,Jan,1.132411985,0.97
1930,Feb,0.551016448,-1.06
1930,Mar,0.378393151,-0.43
1930,Apr,0.278322937,-0.7
1930,May,0.24089098,0.06
1930,Jun,0.169369632,0.58
1930,Jul,0.157607009,-0.45
1930,Aug,0.066744383,-0.53
1930,Sep,0.556581731,-0.2
1930,Oct,0.259563834,-0.38
1930,Nov,-0.094236173,-0.31
1930,Dec,0.829839257,1.2
1931,Jan,1.033979284,0.08
1931,Feb,1.050522942,1.56
1931,Mar,1.163915238,1.13
1931,Apr,1.387892014,1.28
1931,May,1.748917841,1.66
1931,Jun,1.527001226,0.39
1931,Jul,1.894490193,1.49
1931,Aug,1.034437698,0.02
1931,Sep,0.951372531,-0.01
1931,Oct,0.190472251,-0.17
1931,Nov,-0.207588869,0.34
1931,Dec,-0.887753078,1.09
1932,Jan,-1.093070594,-0.26
1932,Feb,-1.317355196,-0.58
1932,Mar,-0.608033504,0.51
1932,Apr,0.363247001,1.15
1932,May,-0.021753406,0.64
1932,Jun,-0.166287264,0.1
1932,Jul,-0.116509762,-0.12
1932,Aug,-0.091370286,-0.14
1932,Sep,-0.820047075,-0.4
1932,Oct,0.175771931,-0.29
1932,Nov,-0.242963993,-0.88
1932,Dec,0.161712898,0.02
1933,Jan,-0.51868196,0.29
1933,Feb,-0.891669844,0.02
1933,Mar,-0.907174285,0.15
1933,Apr,-0.624870142,-0.05
1933,May,-1.470206865,-0.5
1933,Jun,-2.135237177,-0.68
1933,Jul,-2.754241176,-1.81
1933,Aug,-2.340680646,-1.56
1933,Sep,-2.393631115,-2.28
1933,Oct,-1.457857261,-1.19
1933,Nov,-0.475906756,0.55
1933,Dec,-0.655375836,-1.1
1934,Jan,-0.739781927,0.17
1934,Feb,0.049033268,0.68
1934,Mar,0.61875453,1.34
1934,Apr,0.857080781,1.63
1934,May,0.594829791,1.23
1934,Jun,-0.240848451,0.51
1934,Jul,0.02337328,0.44
1934,Aug,1.005764431,1.54
1934,Sep,0.96042407,1.25
1934,Oct,1.671477795,2.1
1934,Nov,1.178305404,1.63
1934,Dec,0.939411865,1.67
1935,Jan,0.342032735,1.01
1935,Feb,-0.005092404,0.79
1935,Mar,-0.108887256,-0.11
1935,Apr,0.188013417,1.1
1935,May,0.65099973,0.99
1935,Jun,1.015222704,1.39
1935,Jul,0.558617718,0.68
1935,Aug,0.487005293,0.63
1935,Sep,0.589073465,0.98
1935,Oct,0.646531209,0.21
1935,Nov,0.370346164,0.13
1935,Dec,1.311758647,1.78
1936,Jan,1.568994608,1.79
1936,Feb,1.287734081,1.75
1936,Mar,0.925770123,1.36
1936,Apr,0.94850401,1.32
1936,May,1.318568809,1.83
1936,Jun,1.881504058,2.37
1936,Jul,2.515232026,2.57
1936,Aug,2.138866522,1.71
1936,Sep,1.307177466,0.04
1936,Oct,2.091814602,2.1
1936,Nov,2.537452648,2.65
1936,Dec,1.443508938,1.28
1937,Jan,0.039053282,0
1937,Feb,-0.183003179,-0.49
1937,Mar,0.039639264,0.38
1937,Apr,-0.355784593,0.2
1937,May,-0.100514629,0.53
1937,Jun,1.169813088,1.75
1937,Jul,0.098517681,0.11
1937,Aug,-0.407675462,-0.35
1937,Sep,0.36328199,0.63
1937,Oct,0.77344318,0.76
1937,Nov,1.170304773,-0.18
1937,Dec,0.581364739,0.55
1938,Jan,1.029947145,0.5
1938,Feb,-0.129668473,0.02
1938,Mar,-0.51699878,0.24
1938,Apr,-0.201936524,0.27
1938,May,-0.449773279,-0.25
1938,Jun,-0.463758562,-0.2
1938,Jul,-0.338749178,-0.21
1938,Aug,-0.287387626,-0.45
1938,Sep,0.02314658,-0.01
1938,Oct,0.868956032,0.07
1938,Nov,-0.151333674,0.48
1938,Dec,0.681853885,1.4
1939,Jan,0.543013226,1.36
1939,Feb,-0.225914744,0.07
1939,Mar,-0.587317451,-0.39
1939,Apr,0.000379915,0.45
1939,May,0.151783493,0.98
1939,Jun,-0.158795903,1.04
1939,Jul,-0.923733152,-0.21
1939,Aug,-0.913932947,-0.74
1939,Sep,-1.22601818,-1.1
1939,Oct,-1.257044022,-1.31
1939,Nov,-0.918678995,-0.88
1939,Dec,0.881630043,1.51
1940,Jan,1.31600891,2.03
1940,Feb,0.833935285,1.74
1940,Mar,1.36877944,1.89
1940,Apr,1.575284433,2.37
1940,May,1.540432338,2.32
1940,Jun,1.880800352,2.43
1940,Jul,1.684193853,2.12
1940,Aug,1.311361267,1.4
1940,Sep,1.140279755,1.1
1940,Oct,1.327164741,1.19
1940,Nov,1.601060583,0.68
1940,Dec,2.21116653,1.96
1941,Jan,2.248054794,2.14
1941,Feb,2.627301396,2.07
1941,Mar,2.276637737,2.41
1941,Apr,2.330469804,1.89
1941,May,2.041601222,2.25
1941,Jun,2.475051121,3.01
1941,Jul,2.822916754,2.33
1941,Aug,3.122120902,3.31
1941,Sep,2.045774858,1.99
1941,Oct,1.210270984,1.22
1941,Nov,1.421037695,0.4
1941,Dec,1.994964437,0.91
1942,Jan,2.027744135,1.01
1942,Feb,1.79708283,0.79
1942,Mar,1.331073182,0.29
1942,Apr,1.188214054,0.79
1942,May,0.803523984,0.84
1942,Jun,0.841753066,1.19
1942,Jul,0.880302141,0.12
1942,Aug,1.043516736,0.44
1942,Sep,0.801449457,0.68
1942,Oct,0.680307074,0.54
1942,Nov,0.276009599,-0.1
1942,Dec,-0.690989685,-1
1943,Jan,-1.505953485,-0.18
1943,Feb,-0.808368114,0.02
1943,Mar,0.266422678,0.26
1943,Apr,1.080715207,1.08
1943,May,0.514707545,0.43
1943,Jun,-0.256151999,0.68
1943,Jul,-0.373336892,-0.36
1943,Aug,-1.627637869,-0.9
1943,Sep,-1.389238732,-0.49
1943,Oct,-1.289655568,-0.04
1943,Nov,-0.281177127,0.29
1943,Dec,1.365564792,0.58
1944,Jan,1.226069827,0.18
1944,Feb,0.329404263,0.17
1944,Mar,-0.363936164,0.08
1944,Apr,-0.555900137,0.72
1944,May,-1.368940084,-0.35
1944,Jun,-1.758857033,-0.98
1944,Jul,-1.209189339,-0.4
1944,Aug,-0.637354485,-0.51
1944,Sep,-1.453295712,-0.56
1944,Oct,-1.083222733,-0.4
1944,Nov,-0.392043553,0.33
1944,Dec,-0.250638264,0.2
1945,Jan,0.13145186,-1.02
1945,Feb,-0.003211496,0.72
1945,Mar,0.434117843,-0.42
1945,Apr,0.077849771,-0.4
1945,May,-0.215018205,-0.07
1945,Jun,0.247999774,0.56
1945,Jul,0.533304277,1.02
1945,Aug,-0.050423064,0.18
1945,Sep,-0.016613816,-0.27
1945,Oct,0.191970468,0.1
1945,Nov,-0.892873166,-1.94
1945,Dec,-1.435527553,-0.74
1946,Jan,-0.96833486,-0.91
1946,Feb,0.419563092,-0.32
1946,Mar,0.799737398,-0.41
1946,Apr,1.157016921,-0.78
1946,May,0.130688385,0.5
1946,Jun,-0.042726533,-0.86
1946,Jul,0.272027655,-0.84
1946,Aug,0.218291427,-0.36
1946,Sep,0.119933046,-0.22
1946,Oct,-0.688934316,-0.36
1946,Nov,-1.255449912,-1.48
1946,Dec,-1.297986105,-0.96
1947,Jan,-0.315072088,-0.73
1947,Feb,0.031019111,-0.29
1947,Mar,0.296684506,1.17
1947,Apr,0.066271857,0.7
1947,May,-0.362345058,0.37
1947,Jun,0.70159493,1.36
1947,Jul,0.591614249,0.16
1947,Aug,0.573188565,0.3
1947,Sep,0.287785167,0.58
1947,Oct,1.119218009,0.85
1947,Nov,0.428739967,-0.14
1947,Dec,-0.346289965,1.67
1948,Jan,-0.077348393,-0.11
1948,Feb,-0.330332281,-0.74
1948,Mar,-0.786778524,-0.03
1948,Apr,-0.670427652,-1.33
1948,May,-1.417791927,-0.23
1948,Jun,-0.054518946,0.08
1948,Jul,-0.117966929,-0.92
1948,Aug,-0.617982134,-1.56
1948,Sep,-0.922055466,-1.74
1948,Oct,-1.743287435,-1.32
1948,Nov,-0.790319635,-0.89
1948,Dec,-1.665668576,-1.7
1949,Jan,-2.436404947,-2.01
1949,Feb,-2.640478689,-3.6
1949,Mar,-1.552418253,-1
1949,Apr,-1.209258969,-0.53
1949,May,-1.088990736,-1.07
1949,Jun,-1.109814016,-0.7
1949,Jul,-1.403033097,-0.56
1949,Aug,-1.363979431,-1.3
1949,Sep,-1.127009972,-0.93
1949,Oct,-1.790450512,-1.41
1949,Nov,-0.864425107,-0.83
1949,Dec,-0.751427711,-0.8
1950,Jan,-1.381976643,-2.13
1950,Feb,-1.697953184,-2.91
1950,Mar,-1.338449439,-1.13
1950,Apr,-1.475650987,-1.2
1950,May,-2.392213379,-2.23
1950,Jun,-2.040724297,-1.77
1950,Jul,-2.943128493,-2.93
1950,Aug,-2.188416808,-0.7
1950,Sep,-1.561797615,-2.14
1950,Oct,-1.316349343,-1.36
1950,Nov,-1.221320501,-2.46
1950,Dec,-0.949945243,-0.76
1951,Jan,-0.956057035,-1.54
1951,Feb,-1.181518357,-1.06
1951,Mar,-1.380311268,-1.9
1951,Apr,-1.172455761,-0.36
1951,May,-0.993834835,-0.25
1951,Jun,-1.296036819,-1.09
1951,Jul,0.024982073,0.7
1951,Aug,-0.958327732,-1.37
1951,Sep,-0.135608874,-0.08
1951,Oct,0.17036482,-0.32
1951,Nov,-0.185968346,-0.28
1951,Dec,-1.240340397,-1.68
1952,Jan,-2.032451702,-2.01
1952,Feb,-1.165251586,-0.46
1952,Mar,-1.503538681,-0.63
1952,Apr,-1.532419477,-1.05
1952,May,-1.526427836,-1
1952,Jun,-1.717802196,-1.43
1952,Jul,-1.75475147,-1.25
1952,Aug,-1.053903033,-0.6
1952,Sep,-0.747053825,-0.89
1952,Oct,-0.374353082,-0.35
1952,Nov,-0.16939895,-0.76
1952,Dec,-0.510671827,0.04
1953,Jan,-0.149614669,-0.57
1953,Feb,-0.375095985,-0.07
1953,Mar,-0.839500104,-1.12
1953,Apr,-0.572430608,0.05
1953,May,-0.272562372,0.43
1953,Jun,-0.161311405,0.29
1953,Jul,0.391440623,0.74
1953,Aug,-0.42396824,0.05
1953,Sep,-0.536753057,-0.63
1953,Oct,-0.894224337,-1.09
1953,Nov,-0.23206077,-0.03
1953,Dec,-0.103265121,0.07
1954,Jan,-0.733619694,-1.32
1954,Feb,-0.634762437,-1.61
1954,Mar,-0.813284515,-0.52
1954,Apr,-0.796917406,-1.33
1954,May,-0.322797985,0.01
1954,Jun,0.574961785,0.97
1954,Jul,-0.075337355,0.43
1954,Aug,-0.013215543,0.08
1954,Sep,-0.645133234,-0.94
1954,Oct,0.210577359,0.52
1954,Nov,0.988061145,0.72
1954,Dec,0.478070439,-0.5
1955,Jan,-0.235987319,0.2
1955,Feb,-0.573270752,-1.52
1955,Mar,-0.85335242,-1.26
1955,Apr,-1.583442247,-1.97
1955,May,-1.395899456,-1.21
1955,Jun,-1.882709292,-2.44
1955,Jul,-2.254343785,-2.35
1955,Aug,-2.024994418,-2.25
1955,Sep,-1.934006865,-1.95
1955,Oct,-2.783168995,-2.8
1955,Nov,-2.283302968,-3.08
1955,Dec,-1.772553739,-2.75
1956,Jan,-1.831460006,-2.48
1956,Feb,-1.860941855,-2.74
1956,Mar,-2.399103572,-2.56
1956,Apr,-2.028579843,-2.17
1956,May,-1.053251322,-1.41
1956,Jun,-1.520536047,-1.7
1956,Jul,-1.046243721,-1.03
1956,Aug,-0.463321735,-1.16
1956,Sep,0.063395157,-0.71
1956,Oct,-1.272947248,-2.3
1956,Nov,-2.198705979,-2.11
1956,Dec,-1.434355445,-1.28
1957,Jan,-1.338780093,-1.82
1957,Feb,-1.533106954,-0.68
1957,Mar,-0.828977459,0.03
1957,Apr,-0.663392014,-0.58
1957,May,0.093831186,0.57
1957,Jun,1.378070888,1.76
1957,Jul,0.640400671,0.72
1957,Aug,0.521374096,0.51
1957,Sep,1.763877776,1.59
1957,Oct,1.586937785,1.5
1957,Nov,1.574749923,-0.32
1957,Dec,0.424808886,-0.55
1958,Jan,0.641411061,0.25
1958,Feb,0.821998021,0.62
1958,Mar,0.712495841,0.25
1958,Apr,0.78646716,1.06
1958,May,1.419746646,1.28
1958,Jun,1.744901567,1.33
1958,Jul,0.805780271,0.89
1958,Aug,1.310951378,1.06
1958,Sep,1.007164852,0.29
1958,Oct,0.298533608,0.01
1958,Nov,0.245751351,-0.18
1958,Dec,0.919942953,0.86
1959,Jan,0.90515469,0.69
1959,Feb,0.46214468,-0.43
1959,Mar,0.134020952,-0.95
1959,Apr,0.081791942,-0.02
1959,May,0.228632511,0.23
1959,Jun,0.441629435,0.44
1959,Jul,-0.051221167,-0.5
1959,Aug,0.037059498,-0.62
1959,Sep,-0.239938363,-0.85
